Kabupaten,Kecamatan,Desa,Tahun,Jum Penduduk,Persentase Pen Miskin,Jumlah Pen Miskin,Garis Kemiskinan(Rp/Kap/Bulan),Persentase Ruta Miskin Penerima BPNT/Program Sembako (%),Jumlah (kg/ bulan),Harga (Rp/Kg),Persentase Rumah Tangga Memiliki Akses Sanitasi Layak,Persentasi Rumah Tangga Memiliki Akses Air Minum Layak ,Rata-rata pendapatan/hari,Total pendapatan/bulan,Total pengeluaran/bulan,Pengeluaran/hari,Miskin,Tidak Miskin,Miskin dan Tidak Miskin,Bekerja di sektor pertanian,Bekerja bukan di sektor pertanian,Mencari pekerjaan,Tidak bekerja,Persentase Pengangguran,Tingkat Kekumuhan,Luas Kumuh (Ha),<SD,Tamat SD/SMP,>SMA,IPM(indeks pembangunan manusia)
Pesawaran,Gedong Tataan,Gedong Tataan,2021,5.0,"26,21",500.0,"Rp420.032,00",53.58,42.64,Rp18.893,Layak,Tidak Layak,Rp100.012,Rp3.000.012,Rp369.852, Rp12.340 ,"63,29","56,111","57,70",1851.0,2116.0,793.0,529.0,"66,83",Kumuh Ringan ,"6,53","14,71","56,11","29,19","66,14"
Pesawaran,Gedong Tataan,Gedong Tataan,2022,5.14,"26,94",514.0,"Rp452.521,00",45.27,17.51,Rp9.879,Layak,Layak,Rp100.013,Rp3.000.013,Rp369.853, Rp12.341 ,"63,30","56,112","57,71",1851.0,2116.0,793.0,529.0,"66,84",Kumuh Ringan ,"6,53","19,98","48,18","31,84","66,70"
Pesawaran,Gedong Tataan,Gedong Tataan,2023,5.28,"27,69",528.0,"Rp491.239,00",32.61,29.61,Rp19.293,Layak,Layak,Rp100.014,Rp3.000.014,Rp369.854, Rp12.342 ,"63,31","56,113","57,72",1851.0,2116.0,793.0,529.0,"66,85",Kumuh Ringan ,"2,07","15,72","55,09","29,19","69,46"
Pesawaran,Gedong Tataan,Karanganyar,2021,3.0,"15,73",300.0,"Rp420.032,00",30.02,18.21,Rp5.209,Layak,Layak,Rp100.015,Rp3.000.015,Rp369.855, Rp12.343 ,"63,32","56,114","57,73",1851.0,2116.0,793.0,529.0,"66,86",Kumuh Sedang,"17,56","13,72","63,76","22,52","66,14"
Pesawaran,Gedong Tataan,Karanganyar,2022,3.18,"16,67",318.0,"Rp452.521,00",26.68,48.57,Rp13.001,Layak,Layak,Rp100.016,Rp3.000.016,Rp369.856, Rp12.344 ,"63,33","56,115","57,74",1851.0,2116.0,793.0,529.0,"66,87",Kumuh Sedang,"18,15","19,32","60,62","20,06","66,70"
Pesawaran,Gedong Tataan,Karanganyar,2023,3.37,"17,68",337.0,"Rp491.239,00",19.95,15.18,Rp9.568,Layak,Layak,Rp100.017,Rp3.000.017,Rp369.857, Rp12.345 ,"63,34","56,116","57,75",1851.0,2116.0,793.0,529.0,"66,88",Kumuh Sedang,"19,08","24,53","57,05","18,43","69,46"
Pesawaran,Gedong Tataan,Kebagusan,2021,6.0,"31,45",600.0,"Rp420.032,00",49.26,5.71,Rp18.242,Tidak Layak,Layak,Rp100.018,Rp3.000.018,Rp369.858, Rp12.346 ,"63,35","56,117","57,76",1851.0,2116.0,793.0,529.0,"66,89",Kumuh Ringan ,"6,53","23,78","59,17","17,05","66,14"
Pesawaran,Gedong Tataan,Kebagusan,2022,6.67,"34,97",667.0,"Rp452.521,00",34.51,19.66,Rp8.759,Tidak Layak,Layak,Rp100.019,Rp3.000.019,Rp369.859, Rp12.347 ,"63,36","56,118","57,77",1851.0,2116.0,793.0,529.0,"66,90",Kumuh Ringan ,"2,07","17,10","58,96","23,94","66,70"
Pesawaran,Gedong Tataan,Kebagusan,2023,7.43,"38,93",743.0,"Rp491.239,00",33.06,27.61,Rp15.161,Layak,Layak,Rp100.020,Rp3.000.020,Rp369.860, Rp12.348 ,"63,37","56,119","57,78",1851.0,2116.0,793.0,529.0,"66,91",Kumuh Ringan ,"6,53","28,78","54,78","16,44","69,46"
Pesawaran,Gedong Tataan,Kurungan Nyawa,2021,5.0,"26,21",500.0,"Rp420.032,00",6.62,6.28,Rp17.156,Tidak Layak,Tidak Layak,Rp100.021,Rp3.000.021,Rp369.861, Rp12.349 ,"63,38","56,120","57,79",1851.0,2116.0,793.0,529.0,"66,92",Kumuh Ringan ,"3,59","29,19","14,71","63,76","66,14"
Pesawaran,Gedong Tataan,Kurungan Nyawa,2022,5.25,"27,54",525.0,"Rp452.521,00",1.39,30.17,Rp11.482,Layak,Layak,Rp100.022,Rp3.000.022,Rp369.862, Rp12.350 ,"63,39","56,121","57,80",1851.0,2116.0,793.0,529.0,"66,93",Kumuh Ringan ,"5,17","22,52","19,98","60,62","66,70"
Pesawaran,Gedong Tataan,Kurungan Nyawa,2023,5.52,"28,92",552.0,"Rp491.239,00",91.17,44.34,Rp16.282,Layak,Layak,Rp100.023,Rp3.000.023,Rp369.863, Rp12.351 ,"63,40","56,122","57,81",1851.0,2116.0,793.0,529.0,"66,94",Kumuh Ringan ,"5,17","17,10","58,96","23,94","69,46"
Pesawaran,Gedong Tataan,Kutoarjo,2021,3.0,"15,73",300.0,"Rp420.032,00",41.38,36.71,Rp17.444,Layak,Layak,Rp100.024,Rp3.000.024,Rp369.864, Rp12.352 ,"63,41","56,123","57,82",1851.0,2116.0,793.0,529.0,"66,95",Kumuh Ringan ,"2,07","22,52","24,53","48,18","66,14"
Pesawaran,Gedong Tataan,Kutoarjo,2022,3.15,"16,52",315.0,"Rp452.521,00",67.70,33.03,Rp10.685,Layak,Layak,Rp100.025,Rp3.000.025,Rp369.865, Rp12.353 ,"63,42","56,124","57,83",1851.0,2116.0,793.0,529.0,"66,96",Kumuh Ringan ,"6,53","20,06","23,78","55,09","66,70"
Pesawaran,Gedong Tataan,Kutoarjo,2023,3.31,"17,37",331.0,"Rp491.239,00",45.24,48.02,Rp6.448,Layak,Layak,Rp100.026,Rp3.000.026,Rp369.866, Rp12.354 ,"63,43","56,125","57,84",1851.0,2116.0,793.0,529.0,"66,97",Kumuh Ringan ,"3,59","18,52","57,80","23,68","69,46"
Pesawaran,Gedong Tataan,Negeri Sakti,2021,5.8,"30,42",580.0,"Rp420.032,00",20.06,48.12,Rp25.357,Layak,Tidak Layak,Rp100.027,Rp3.000.027,Rp369.867, Rp12.355 ,"63,44","56,126","57,85",1851.0,2116.0,793.0,529.0,"66,98",Kumuh Ringan ,"6,53","24,53","59,17","23,94","66,14"
Pesawaran,Gedong Tataan,Negeri Sakti,2022,5.93,"31,06",593.0,"Rp452.521,00",92.95,42.09,Rp13.879,Layak,Layak,Rp100.028,Rp3.000.028,Rp369.868, Rp12.356 ,"63,45","56,127","57,86",1851.0,2116.0,793.0,529.0,"66,99",Kumuh Ringan ,"3,59","23,78","49,16","23,68","66,70"
Pesawaran,Gedong Tataan,Negeri Sakti,2023,6.05,"31,72",605.0,"Rp491.239,00",12.27,32.35,Rp12.147,Layak,Layak,Rp100.029,Rp3.000.029,Rp369.869, Rp12.357 ,"63,46","56,128","57,87",1851.0,2116.0,793.0,529.0,"66,100",Kumuh Ringan ,"5,17","24,08","59,17","27,99","69,46"
Pesawaran,Gedong Tataan,Padang Ratu,2021,1.8,"9,44",180.0,"Rp420.032,00",48.14,26.95,Rp12.319,Layak,Layak,Rp100.030,Rp3.000.030,Rp369.870, Rp12.358 ,"63,47","56,129","57,88",1851.0,2116.0,793.0,529.0,"66,101",Kumuh Sedang,"17,56","20,06","58,96","26,88","66,14"
Pesawaran,Gedong Tataan,Padang Ratu,2022,1.84,"9,65",184.0,"Rp452.521,00",9.17,45.45,Rp11.877,Layak,Layak,Rp100.031,Rp3.000.031,Rp369.871, Rp12.359 ,"63,48","56,130","57,89",1851.0,2116.0,793.0,529.0,"66,102",Kumuh Sedang,"19,08","18,52","57,80","26,88","66,70"
Pesawaran,Gedong Tataan,Padang Ratu,2023,1.89,"9,88",189.0,"Rp491.239,00",22.93,32.28,Rp12.868,Layak,Layak,Rp100.032,Rp3.000.032,Rp369.872, Rp12.360 ,"63,49","56,131","57,90",1851.0,2116.0,793.0,529.0,"66,103",Kumuh Sedang,"14,26","20,60","58,12","21,28","69,46"
Pesawaran,Gedong Tataan,Pampangan,2021,2.0,"10,48",200.0,"Rp420.032,00",68.54,49.51,Rp11.630,Layak,Layak,Rp100.033,Rp3.000.033,Rp369.873, Rp12.361 ,"63,50","56,132","57,91",1851.0,2116.0,793.0,529.0,"66,104",Kumuh Ringan ,"7,64","17,10","58,96","23,94","66,14"
Pesawaran,Gedong Tataan,Pampangan,2022,2.31,"12,12",231.0,"Rp452.521,00",52.64,41.81,Rp17.789,Layak,Layak,Rp100.034,Rp3.000.034,Rp369.874, Rp12.362 ,"63,51","56,133","57,92",1851.0,2116.0,793.0,529.0,"66,105",Kumuh Ringan ,"7,64","22,52","24,53","48,18","66,70"
Pesawaran,Gedong Tataan,Pampangan,2023,2.43,"12,75",243.0,"Rp491.239,00",55.01,20.33,Rp11.501,Tidak Layak,Layak,Rp100.035,Rp3.000.035,Rp369.875, Rp12.363 ,"63,52","56,134","57,93",1851.0,2116.0,793.0,529.0,"66,106",Kumuh Ringan ,"7,64","17,80","54,09","28,10","69,46"
Pesawaran,Gedong Tataan,Sukabanjar,2021,2.8,"14,68",280.0,"Rp420.032,00",83.22,11.84,Rp17.403,Layak,Layak,Rp100.036,Rp3.000.036,Rp369.876, Rp12.364 ,"63,53","56,135","57,94",1851.0,2116.0,793.0,529.0,"66,107",Kumuh Sedang,"11,02","19,98","48,18","31,84","66,14"
Pesawaran,Gedong Tataan,Sukabanjar,2022,2.85,"14,94",285.0,"Rp452.521,00",6.08,40.28,Rp12.640,Layak,Layak,Rp100.037,Rp3.000.037,Rp369.877, Rp12.365 ,"63,54","56,136","57,95",1851.0,2116.0,793.0,529.0,"66,108",Kumuh Sedang,"16,43","15,72","55,09","29,19","66,70"
Pesawaran,Gedong Tataan,Sukabanjar,2023,2.83,"14,85",283.0,"Rp491.239,00",90.48,38.48,Rp6.295,Tidak Layak,Tidak Layak,Rp100.038,Rp3.000.038,Rp369.878, Rp12.366 ,"63,55","56,137","57,96",1851.0,2116.0,793.0,529.0,"66,109",Kumuh Sedang,"17,56","27,89","55,66","16,44","69,46"
Pesawaran,Gedong Tataan,Sukadadi,2021,5.42,"28,43",542.0,"Rp420.032,00",65.12,48.52,Rp14.900,Tidak Layak,Tidak Layak,Rp100.039,Rp3.000.039,Rp369.879, Rp12.367 ,"63,56","56,138","57,97",1851.0,2116.0,793.0,529.0,"66,110",Kumuh Ringan ,"7,64","22,52","24,53","48,18","66,14"
Pesawaran,Gedong Tataan,Sukadadi,2022,5.54,"29,03",554.0,"Rp452.521,00",64.09,44.37,Rp8.098,Layak,Layak,Rp100.040,Rp3.000.040,Rp369.880, Rp12.368 ,"63,57","56,139","57,98",1851.0,2116.0,793.0,529.0,"66,111",Kumuh Ringan ,"7,64","17,80","54,09","28,10","66,70"
Pesawaran,Gedong Tataan,Sukadadi,2023,5.65,"29,60",565.0,"Rp491.239,00",3.02,30.0,Rp17.709,Layak,Layak,Rp100.041,Rp3.000.041,Rp369.881, Rp12.369 ,"63,58","56,140","57,99",1851.0,2116.0,793.0,529.0,"66,112",Kumuh Ringan ,"2,07","26,72","54,12","19,16","69,46"
Pesawaran,Gedong Tataan,Sukaraja,2021,9.43,"49,41",943.0,"Rp420.032,00",91.01,9.56,Rp15.220,Layak,Layak,Rp100.042,Rp3.000.042,Rp369.882, Rp12.370 ,"63,59","56,141","57,100",1851.0,2116.0,793.0,529.0,"66,113",Kumuh Ringan ,"6,53","23,78","59,17","17,05","66,14"
Pesawaran,Gedong Tataan,Sukaraja,2022,9.71,"50,89",971.0,"Rp452.521,00",2.80,26.76,Rp7.675,Layak,Layak,Rp100.043,Rp3.000.043,Rp369.883, Rp12.371 ,"63,60","56,142","57,101",1851.0,2116.0,793.0,529.0,"66,114",Kumuh Ringan ,"2,07","17,10","58,96","23,94","66,70"
Pesawaran,Gedong Tataan,Sukaraja,2023,10.0,"52,41",1.0,"Rp491.239,00",18.54,45.65,Rp6.047,Layak,Tidak Layak,Rp100.044,Rp3.000.044,Rp369.884, Rp12.372 ,"63,61","56,143","57,102",1851.0,2116.0,793.0,529.0,"66,115",Kumuh Ringan ,"7,64","21,08","55,67","23,24","69,46"
Pesawaran,Gedong Tataan,Sungai Langka,2021,5.74,"30,09",574.0,"Rp420.032,00",89.59,45.47,Rp5.145,Layak,Layak,Rp100.045,Rp3.000.045,Rp369.885, Rp12.373 ,"63,62","56,144","57,103",1851.0,2116.0,793.0,529.0,"66,116",Kumuh Ringan ,"5,17","17,80","54,09","28,10","66,14"
Pesawaran,Gedong Tataan,Sungai Langka,2022,5.86,"30,70",586.0,"Rp452.521,00",12.67,18.58,Rp18.380,Layak,Layak,Rp100.046,Rp3.000.046,Rp369.886, Rp12.374 ,"63,63","56,145","57,104",1851.0,2116.0,793.0,529.0,"66,117",Kumuh Ringan ,"2,07","19,98","48,18","31,84","66,70"
Pesawaran,Gedong Tataan,Sungai Langka,2023,5.97,"31,32",597.0,"Rp491.239,00",39.80,43.78,Rp7.001,Layak,Layak,Rp100.047,Rp3.000.047,Rp369.887, Rp12.375 ,"63,64","56,146","57,105",1851.0,2116.0,793.0,529.0,"66,118",Kumuh Ringan ,"6,53","5,54","67,58","26,88","69,46"
Pesawaran,Gedong Tataan,Tamansari,2021,6.0,"31,47",600.0,"Rp420.032,00",Rp76,42.99,Rp16.687,Layak,Layak,Rp100.048,Rp3.000.048,Rp369.888, Rp12.376 ,"63,65","56,147","57,106",1851.0,2116.0,793.0,529.0,"66,119",Kumuh Ringan ,"3,59","27,89","55,66","16,44","66,14"
Pesawaran,Gedong Tataan,Tamansari,2022,6.13,"32,15",613.0,"Rp452.521,00",56.29,45.34,Rp18.877,Layak,Layak,Rp100.049,Rp3.000.049,Rp369.889, Rp12.377 ,"63,66","56,148","57,107",1851.0,2116.0,793.0,529.0,"66,120",Kumuh Ringan ,"4,23","22,52","24,53","48,18","66,70"
Pesawaran,Gedong Tataan,Tamansari,2023,6.26,"32,82",626.0,"Rp491.239,00",73.05,31.98,Rp15.727,Tidak Layak,Layak,Rp100.050,Rp3.000.050,Rp369.890, Rp12.378 ,"63,67","56,149","57,108",1851.0,2116.0,793.0,529.0,"66,121",Kumuh Ringan ,"5,82","4,00","72,69","23,32","69,46"
Pesawaran,Gedong Tataan,Way Layap,2021,3.75,"19,65",375.0,"Rp420.032,00",19.28,24.36,Rp12.362,Tidak Layak,Layak,Rp100.051,Rp3.000.051,Rp369.891, Rp12.379 ,"63,68","56,150","57,109",1851.0,2116.0,793.0,529.0,"66,122",Kumuh Ringan ,"3,01","4,00","72,69","23,32","66,14"
Pesawaran,Gedong Tataan,Way Layap,2022,3.82,"20,04",382.0,"Rp452.521,00",41.21,45.91,Rp12.042,Layak,Layak,Rp100.052,Rp3.000.052,Rp369.892, Rp12.380 ,"63,69","56,151","57,110",1851.0,2116.0,793.0,529.0,"66,123",Kumuh Ringan ,"3,21","13,72","63,76","22,52","66,70"
Pesawaran,Gedong Tataan,Way Layap,2023,3.9,"20,44",390.0,"Rp491.239,00",49.84,13.43,Rp18.240,Tidak Layak,Tidak Layak,Rp100.053,Rp3.000.053,Rp369.893, Rp12.381 ,"63,70","56,152","57,111",1851.0,2116.0,793.0,529.0,"66,124",Kumuh Ringan ,"3,59","10,58","60,58","28,84","69,46"
Pesawaran,Gedong Tataan,Wiyono,2021,7.42,"38,91",742.0,"Rp420.032,00",24.36,36.4,Rp12.326,Layak,Layak,Rp100.054,Rp3.000.054,Rp369.894, Rp12.382 ,"63,71","56,153","57,112",1851.0,2116.0,793.0,529.0,"66,125",Kumuh Ringan ,"6,53","5,54","67,58","26,88","66,14"
Pesawaran,Gedong Tataan,Wiyono,2022,7.58,"39,72",758.0,"Rp452.521,00",99.79,48.67,Rp11.218,Layak,Layak,Rp100.055,Rp3.000.055,Rp369.895, Rp12.383 ,"63,72","56,154","57,113",1851.0,2116.0,793.0,529.0,"66,126",Kumuh Ringan ,"6,53","27,89","55,66","16,44","66,70"
Pesawaran,Gedong Tataan,Wiyono,2023,7.73,"40,53",773.0,"Rp491.239,00",67.11,12.89,Rp7.611,Layak,Layak,Rp100.056,Rp3.000.056,Rp369.896, Rp12.384 ,"63,73","56,155","57,114",1851.0,2116.0,793.0,529.0,"66,127",Kumuh Ringan ,"2,07","19,32","60,62","20,06","69,46"
Pesawaran,Kedondong,Babakan Loa,2021,2.28,"11,93",228.0,"Rp420.032,00",88.38,45.55,Rp12.129,Layak,Layak,Rp100.057,Rp3.000.057,Rp369.897, Rp12.385 ,"63,74","56,156","57,115",1851.0,2116.0,793.0,529.0,"66,128",Kumuh Ringan ,"6,53","18,52","57,80","23,68","66,14"
Pesawaran,Kedondong,Babakan Loa,2022,2.31,"12,10",231.0,"Rp452.521,00",39.30,36.22,Rp16.754,Layak,Layak,Rp100.058,Rp3.000.058,Rp369.898, Rp12.386 ,"63,75","56,157","57,116",1851.0,2116.0,793.0,529.0,"66,129",Kumuh Ringan ,"2,07","22,85","49,16","27,99","66,70"
Pesawaran,Kedondong,Babakan Loa,2023,2.34,"12,28",234.0,"Rp491.239,00",92.48,40.06,Rp13.346,Layak,Tidak Layak,Rp100.059,Rp3.000.059,Rp369.899, Rp12.387 ,"63,76","56,158","57,117",1851.0,2116.0,793.0,529.0,"66,130",Kumuh Ringan ,"6,53","20,97","66,25","12,78","69,46"
Pesawaran,Kedondong,Gunung Sugih,2021,2.73,"14,33",273.0,"Rp420.032,00",25.16,45.5,Rp20.081,Layak,Layak,Rp100.060,Rp3.000.060,Rp369.900, Rp12.388 ,"63,77","56,159","57,118",1851.0,2116.0,793.0,529.0,"66,131",Kumuh Sedang,"13,43","10,58","60,58","28,84","66,14"
Pesawaran,Kedondong,Gunung Sugih,2022,2.76,"14,47",276.0,"Rp452.521,00",15.79,32.44,Rp7.157,Layak,Layak,Rp100.061,Rp3.000.061,Rp369.901, Rp12.389 ,"63,78","56,160","57,119",1851.0,2116.0,793.0,529.0,"66,132",Kumuh Sedang,"13,98","5,54","67,58","26,88","66,70"
Pesawaran,Kedondong,Gunung Sugih,2023,2.79,"14,62",279.0,"Rp491.239,00",78.69,14.57,Rp14.741,Layak,Layak,Rp100.062,Rp3.000.062,Rp369.902, Rp12.390 ,"63,79","56,161","57,120",1851.0,2116.0,793.0,529.0,"66,133",Kumuh Sedang,"12,36","22,40","56,40","21,20","69,46"
Pesawaran,Kedondong,Harapan Jaya,2021,1.45,"7,61",145.0,"Rp420.032,00",97.30,26.45,Rp13.088,Layak,Layak,Rp100.063,Rp3.000.063,Rp369.903, Rp12.391 ,"63,80","56,162","57,121",1851.0,2116.0,793.0,529.0,"66,134",Kumuh Sedang,"13,39","4,00","72,69","23,32","66,14"
Pesawaran,Kedondong,Harapan Jaya,2022,1.48,"7,76",148.0,"Rp452.521,00",6.20,45.39,Rp9.885,Tidak Layak,Layak,Rp100.064,Rp3.000.064,Rp369.904, Rp12.392 ,"63,81","56,163","57,122",1851.0,2116.0,793.0,529.0,"66,135",Kumuh Sedang,"13,49","13,72","63,76","22,52","66,70"
Pesawaran,Kedondong,Harapan Jaya,2023,1.51,"7,92",151.0,"Rp491.239,00",Rp10,19.46,Rp7.205,Layak,Layak,Rp100.065,Rp3.000.065,Rp369.905, Rp12.393 ,"63,82","56,164","57,123",1851.0,2116.0,793.0,529.0,"66,136",Kumuh Sedang,"13,98","20,20","63,03","16,77","69,46"
Pesawaran,Kedondong,Kedondong,2021,5.24,"27,47",524.0,"Rp420.032,00",31.79,17.82,Rp20.082,Layak,Layak,Rp100.066,Rp3.000.066,Rp369.906, Rp12.394 ,"63,83","56,165","57,124",1851.0,2116.0,793.0,529.0,"66,137",Kumuh Ringan ,"3,59","20,60","58,12","21,28","66,14"
Pesawaran,Kedondong,Kedondong,2022,5.35,"28,05",535.0,"Rp452.521,00",52.60,45.32,Rp6.941,Tidak Layak,Tidak Layak,Rp100.067,Rp3.000.067,Rp369.907, Rp12.395 ,"63,84","56,166","57,125",1851.0,2116.0,793.0,529.0,"66,138",Kumuh Ringan ,"5,17","17,10","58,96","23,94","66,70"
Pesawaran,Kedondong,Kedondong,2023,5.47,"28,65",547.0,"Rp491.239,00",70.43,46.86,Rp13.683,Tidak Layak,Tidak Layak,Rp100.068,Rp3.000.068,Rp369.908, Rp12.396 ,"63,85","56,167","57,126",1851.0,2116.0,793.0,529.0,"66,139",Kumuh Ringan ,"5,17","31,84","52,60","15,56","69,46"
Pesawaran,Kedondong,Kertasana,2021,2.06,"10,78",206.0,"Rp420.032,00",95.56,13.16,Rp16.376,Layak,Layak,Rp100.069,Rp3.000.069,Rp369.909, Rp12.397 ,"63,86","56,168","57,127",1851.0,2116.0,793.0,529.0,"66,140",Kumuh Sedang,"18,15","5,54","67,58","26,88","66,14"
Pesawaran,Kedondong,Kertasana,2022,2.1,"11,00",210.0,"Rp452.521,00",11.78,45.47,Rp18.658,Layak,Layak,Rp100.070,Rp3.000.070,Rp369.910, Rp12.398 ,"63,87","56,169","57,128",1851.0,2116.0,793.0,529.0,"66,141",Kumuh Sedang,"20,15","27,89","55,66","16,44","66,70"
Pesawaran,Kedondong,Kertasana,2023,2.14,"11,22",214.0,"Rp491.239,00",35.63,32.7,Rp6.244,Layak,Layak,Rp100.071,Rp3.000.071,Rp369.911, Rp12.399 ,"63,88","56,170","57,129",1851.0,2116.0,793.0,529.0,"66,142",Kumuh Sedang,"20,15","33,99","35,17","30,84","69,46"
Pesawaran,Kedondong,Pasar Baru,2021,4.45,"23,31",445.0,"Rp420.032,00",26.63,47.6,Rp17.005,Layak,Layak,Rp100.072,Rp3.000.072,Rp369.912, Rp12.400 ,"63,89","56,171","57,130",1851.0,2116.0,793.0,529.0,"66,143",Kumuh Ringan ,"2,07","27,89","55,66","16,44","66,14"
Pesawaran,Kedondong,Pasar Baru,2022,4.53,"23,76",453.0,"Rp452.521,00",80.74,10.99,Rp18.156,Layak,Tidak Layak,Rp100.073,Rp3.000.073,Rp369.913, Rp12.401 ,"63,90","56,172","57,131",1851.0,2116.0,793.0,529.0,"66,144",Kumuh Ringan ,"6,53","33,99","35,17","30,84","66,70"
Pesawaran,Kedondong,Pasar Baru,2023,4.62,"24,24",462.0,"Rp491.239,00",16.36,46.3,Rp6.401,Layak,Layak,Rp100.074,Rp3.000.074,Rp369.914, Rp12.402 ,"63,91","56,173","57,132",1851.0,2116.0,793.0,529.0,"66,145",Kumuh Ringan ,"3,59","25,04","60,25","14,72","69,46"
